goal,indicator_id,topic,series_code,location,age_group,sex,value_type,unit,indicator_text,value_judgement
14,C140501,oceans,ER_MRN_MARIN,Total (national level),All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,Percent,of its marine areas are protected?,good
14,C140501,seas,ER_MRN_MARIN,Total (national level),All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,Percent,of its marine areas are protected?,good
15,C150102,animals,ER_PTD_TERR,Total (national level),All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,Percent,of its important land biodiversity is protected?,good
15,C150102,nature,ER_PTD_TERR,Total (national level),All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,Percent,of its important land biodiversity is protected?,good
15,C150102,plants,ER_PTD_TERR,Total (national level),All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,Percent,of its important land biodiversity is protected?,good
15,C150102,fish,ER_PTD_FRHWTR,Total (national level),All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,Percent,of its important freshwater biodiversity is protected?,good
15,C150102,nature,ER_PTD_FRHWTR,Total (national level),All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,Percent,of its important freshwater biodiversity is protected?,good
15,C150102,plants,ER_PTD_FRHWTR,Total (national level),All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,Percent,of its important freshwater biodiversity is protected?,good
15,C150101,nature,AG_LND_FRST,Total (national level),All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,Percent,of its land is forest?,good
15,C150101,plants,AG_LND_FRST,Total (national level),All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,Percent,of its land is forest?,good
15,C150201,nature,AG_LND_FRSTPRCT,Total (national level),All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,Percent,of its forest is protected?,good
15,C150201,plants,AG_LND_FRSTPRCT,Total (national level),All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,Percent,of its forest is protected?,good
