name,wiki_name,raw_summary,clean_summary,sent_count,token_count,first_sent
Aruba,Aruba,"Aruba is an island in the Caribbean Sea, just a short distance north of the Venezuelan Paraguaná Peninsula, and it forms a part of the Kingdom of the Netherlands. Unlike much of the Caribbean region, it has a dry climate and an arid, cactus-strewn landscape. This climate has helped tourism, because visitors to the island can reliably expect warm, sunny weather.
The island broke off from the Netherlands Antilles in 1986, hoping to gain its independence by 1996. In 1990, that effort stopped at the request of the island people.
Aruba is one of the four countries that form the Kingdom of the Netherlands. The other nations are the Netherlands, Curaçao and Sint Maarten. The citizens of these countries all share a single nationality: Dutch.
About three quarters of the Aruban gross national product is earned through tourism or related activities.
The island came into the news after U.S. high school student Natalee Holloway disappeared on a graduation trip on May 30, 2005.","Aruba is an island in the Caribbean Sea, just a short distance north of the Venezuelan Paraguaná Peninsula, and it forms a part of the Kingdom of the Netherlands. Unlike much of the Caribbean region, it has a dry climate and an arid, cactus-strewn landscape. This climate has helped tourism, because visitors to the island can reliably expect warm, sunny weather. The island broke off from the Netherlands Antilles in 1986, hoping to gain its independence by 1996. In 1990, that effort stopped at the request of the island people. Aruba is one of the four countries that form the Kingdom of the Netherlands. The other nations are the Netherlands, Curaçao and Sint Maarten. The citizens of these countries all share a single nationality: Dutch. About three quarters of the Aruban gross national product is earned through tourism or related activities. The island came into the news after U.S. high school student Natalee Holloway disappeared on a graduation trip on May 30, 2005.",10,184,"Aruba is an island in the Caribbean Sea, just a short distance north of the Venezuelan Paraguaná Peninsula, and it forms a part of the Kingdom of the Netherlands."
Australia,Australia,"Australia, officially called the Commonwealth of Australia, is a country and sovereign state in the southern hemisphere, located on its own continent between the Pacific Ocean and the Indian Ocean. Its capital city is Canberra, and its largest city is Sydney.
Australia is the sixth biggest country in the world by land area, and is part of the Oceanic and Australasian regions. Australia, New Zealand, New Guinea and other islands on the Australian tectonic plate are together called Australasia, which is one of the world's great ecozones. When other Pacific islands are included with Australasia, it is called Oceania.
23–24 million people live in Australia, and about 80% of them live on the east coast. The country is divided up into six states, and more than half of Australia's population lives in and around the cities of Sydney, Melbourne, Brisbane, Perth and Adelaide.
Australia is known for its mining, its production of wool, and as the world's largest producer of bauxite. Its emblem is a flower called the Golden Wattle.","Australia, officially called the Commonwealth of Australia, is a country and sovereign state in the southern hemisphere, located on its own continent between the Pacific Ocean and the Indian Ocean. Its capital city is Canberra, and its largest city is Sydney. Australia is the sixth biggest country in the world by land area, and is part of the Oceanic and Australasian regions. Australia, New Zealand, New Guinea and other islands on the Australian tectonic plate are together called Australasia, which is one of the world's great ecozones. When other Pacific islands are included with Australasia, it is called Oceania. 23–24 million people live in Australia, and about 80% of them live on the east coast. The country is divided up into six states, and more than half of Australia's population lives in and around the cities of Sydney, Melbourne, Brisbane, Perth and Adelaide. Australia is known for its mining, its production of wool, and as the world's largest producer of bauxite. Its emblem is a flower called the Golden Wattle.",9,199,"Australia, officially called the Commonwealth of Australia, is a country and sovereign state in the southern hemisphere, located on its own continent between the Pacific Ocean and the Indian Ocean."
Austria,Austria,"Austria (German: Österreich; officially called Republic of Austria), is a country in Central Europe. Around Austria there are Germany, Czech Republic, Slovakia, Hungary, Slovenia, Italy, Switzerland, and Liechtenstein. Currently, the chancellor is Christian Kern. The previous chancellor was Werner Faymann (2008 - 2016). Austria has been a member-state of the EU since 1995.
The people in Austria speak German, a few also Hungarian, Slovenian and Croatian. The capital of Austria is Vienna (Wien).
Austria is more than a thousand years old. Its history can be followed to the ninth century. At that time the first people moved to the land now known as Austria. The name ""Ostarrichi"" is first written in an official document from 996. Since then this word has developed into the Modern German word Österreich, which literally means ""East Kingdom.""","Austria, is a country in Central Europe. Around Austria there are Germany, Czech Republic, Slovakia, Hungary, Slovenia, Italy, Switzerland, and Liechtenstein. Currently, the chancellor is Christian Kern. The previous chancellor was Werner Faymann. Austria has been a member-state of the EU since 1995. The people in Austria speak German, a few also Hungarian, Slovenian and Croatian. The capital of Austria is Vienna. Austria is more than a thousand years old. Its history can be followed to the ninth century. At that time the first people moved to the land now known as Austria. The name ""Ostarrichi"" is first written in an official document from 996. Since then this word has developed into the Modern German word Österreich, which literally means ""East Kingdom.""",12,150,"Austria, is a country in Central Europe."
Azerbaijan,Azerbaijan,"Azerbaijan (Azerbaijani: Azərbaycan; officially called the Republic of Azerbaijan) is a country in the South Caucasus region of Eurasia. It is next to Russia in the north, Georgia, Armenia, in the west, Iran in the south, and Caspian Sea on the east. Its capital city is Baku. Azerbaijan became independent from the Soviet Union when it ended in 1991.
Azerbaijan also includes Nakhchivan Autonomous Republic, an enclave, which is next to Armenia to the north and east, Iran to the south and west, and Turkey to the northwest.
Most of Azerbaijan's land is in Western Asia. It is called an Asian country by the United Nations.
However, because it is close and its history is related to Europe, Azerbaijan is also a member of a number of European groups, including the Council of Europe since 2001. Azerbaijan has diplomatic relations with 158 countries. They have membership in 38 international organizations. On May 9, 2006 Azerbaijan was elected to membership in the newly made Human Rights Council by the United Nations General Assembly.
More than 90% of the people are ethnic Azerbaijanis. Minorities include Russians, Georgians and other minorities. The Constitution of Azerbaijan does not say there is an official religion. But, Shia Islam, is by far the largest religion in the country, followed by Sunni Islam. There are also a small amount of Christians (mainly Eastern Orthodox), Jews (mainly Ashkenazi), agnostics and atheists.
The name of Azerbaijan comes from Atropates. It was a Persian satrap under the Achaemenid Empire.","Azerbaijan is a country in the South Caucasus region of Eurasia. It is next to Russia in the north, Georgia, Armenia, in the west, Iran in the south, and Caspian Sea on the east. Its capital city is Baku. Azerbaijan became independent from the Soviet Union when it ended in 1991. Azerbaijan also includes Nakhchivan Autonomous Republic, an enclave, which is next to Armenia to the north and east, Iran to the south and west, and Turkey to the northwest. Most of Azerbaijan's land is in Western Asia. It is called an Asian country by the United Nations. However, because it is close and its history is related to Europe, Azerbaijan is also a member of a number of European groups, including the Council of Europe since 2001. Azerbaijan has diplomatic relations with 158 countries. They have membership in 38 international organizations. On May 9, 2006 Azerbaijan was elected to membership in the newly made Human Rights Council by the United Nations General Assembly. More than 90% of the people are ethnic Azerbaijanis. Minorities include Russians, Georgians and other minorities. The Constitution of Azerbaijan does not say there is an official religion. But, Shia Islam, is by far the largest religion in the country, followed by Sunni Islam. There are also a small amount of Christians, Jews, agnostics and atheists. The name of Azerbaijan comes from Atropates. It was a Persian satrap under the Achaemenid Empire.",18,275,Azerbaijan is a country in the South Caucasus region of Eurasia.
Bahamas,The Bahamas,"The Bahamas (officially called Commonwealth of The Bahamas) is a group of islands in the West Indies. The country's capital, Nassau, is on New Providence Island.
The Taino were the first people living there. In 1492, Christopher Columbus found the Americas by landing on another of the islands, San Salvador. The Eleutheran Adventurers soon came along, making a home in Eleuthera.
The islands' mostly black population speaks English, the country's main language.
The Bahamas are a popular place for people to visit for holidays, the 700 islands and cays attract a large number of visitors from nearby America, as well as Europe and other countries.","The Bahamas is a group of islands in the West Indies. The country's capital, Nassau, is on New Providence Island. The Taino were the first people living there. In 1492, Christopher Columbus found the Americas by landing on another of the islands, San Salvador. The Eleutheran Adventurers soon came along, making a home in Eleuthera. The islands' mostly black population speaks English, the country's main language. The Bahamas are a popular place for people to visit for holidays, the 700 islands and cays attract a large number of visitors from nearby America, as well as Europe and other countries.",7,117,The Bahamas is a group of islands in the West Indies.
Bahrain,Bahrain,"Bahrain (officially called Kingdom of Bahrain) is an island nation in the Persian Gulf. Saudi Arabia is to the west and is connected to Bahrain by the King Fahd Causeway, and Qatar is to the south across the Persian Gulf. The Qatar-Bahrain Friendship Bridge, not yet built, will link Bahrain to Qatar as the longest fixed bridge in the world.Qatar and Bahrain's flag is the same design but not the same colors because Qatar is white and maroon and Bahrain is white and red","Bahrain is an island nation in the Persian Gulf. Saudi Arabia is to the west and is connected to Bahrain by the King Fahd Causeway, and Qatar is to the south across the Persian Gulf. The Qatar-Bahrain Friendship Bridge, not yet built, will link Bahrain to Qatar as the longest fixed bridge in the world.Qatar and Bahrain's flag is the same design but not the same colors because Qatar is white and maroon and Bahrain is white and red",3,85,Bahrain is an island nation in the Persian Gulf.
Bangladesh,Bangladesh,"Bangladesh (officially called People's Republic of Bangladesh) is a country in South Asia. It is next to the North-east Indian provincial regions of India, which converges with Southeast Asia to the east. Its full name is The People's Republic of Bangla-Desh. The capital and the largest city is Dhaka (also spelled 'Dacca'). Bangladesh is surrounded on all three sides by the Republic of India (Bharat), and Myanmar (Burma) on the south-eastern corner, it is near the People's Republic of China, Bhutan, Sikkim and Nepal. Its independence was fully realised after it declared it self as independent most of 1971 from Pakistan after a bloody war in which over a million people died. Later by Indian military intervention, by that time the provisional government went into exile in Calcutta, Bengal (India) which they considered their homeland to be under Pakistani military occupation. After the Instrument of Surrender, the Bengali peoples became a sovereign nation and when its founder was released from political imprisonment had returned in 1972. Present-day Bangladesh has an area of 55,049 mi² or (142,576 km²) and it is bigger than Somalian breakaway territory of Somaliland but is smaller than the Persian state of Tajikistan. It is slightly smaller than comparison to the U.S. state of Iowa or the Indian state of Orissa which are similar in their geographical sizes to Bangladesh region. It ranks Ninety-Secondth out of hundred and ninety-five Sovereign countries by area.
The local currency is called Taka. The official language is Bengali.
There are two main rivers in Bangladesh, the Ganges and Brahmaputra Rivers are holy to Hindus. There are often floods because of these two rivers.","Bangladesh is a country in South Asia. It is next to the North-east Indian provincial regions of India, which converges with Southeast Asia to the east. Its full name is The People's Republic of Bangla-Desh. The capital and the largest city is Dhaka. Bangladesh is surrounded on all three sides by the Republic of India, and Myanmar on the south-eastern corner, it is near the People's Republic of China, Bhutan, Sikkim and Nepal. Its independence was fully realised after it declared it self as independent most of 1971 from Pakistan after a bloody war in which over a million people died. Later by Indian military intervention, by that time the provisional government went into exile in Calcutta, Bengal which they considered their homeland to be under Pakistani military occupation. After the Instrument of Surrender, the Bengali peoples became a sovereign nation and when its founder was released from political imprisonment had returned in 1972. Present-day Bangladesh has an area of 55,049 mi² or and it is bigger than Somalian breakaway territory of Somaliland but is smaller than the Persian state of Tajikistan. It is slightly smaller than comparison to the U.S. state of Iowa or the Indian state of Orissa which are similar in their geographical sizes to Bangladesh region. It ranks Ninety-Secondth out of hundred and ninety-five Sovereign countries by area. The local currency is called Taka. The official language is Bengali. There are two main rivers in Bangladesh, the Ganges and Brahmaputra Rivers are holy to Hindus. There are often floods because of these two rivers.",15,284,Bangladesh is a country in South Asia.
Barbados,Barbados,"Barbados is an island country in the Caribbean Sea. The island has an area of about 430 km². Its capital and largest city is Bridgetown. The official language of Barbados is English. Barbados is a popular tourist destination. In 2008, the island had a population of about 284,000 people. About 80,000 live in or around Bridgetown.
The island is in the western area of the North Atlantic and 100 kilometres (62 mi) east of the Windward Islands and the Caribbean Sea. It is about 168 kilometres (104 mi) east of the islands of Saint Vincent and the Grenadines, and 400 kilometres (250 mi) north-east of Trinidad and Tobago. Barbados is outside of the main Atlantic hurricane belt.
The island's only airport is the Grantley Adams International Airport.","Barbados is an island country in the Caribbean Sea. The island has an area of about 430 km². Its capital and largest city is Bridgetown. The official language of Barbados is English. Barbados is a popular tourist destination. In 2008, the island had a population of about 284,000 people. About 80,000 live in or around Bridgetown. The island is in the western area of the North Atlantic and 100 kilometres east of the Windward Islands and the Caribbean Sea. It is about 168 kilometres east of the islands of Saint Vincent and the Grenadines, and 400 kilometres north-east of Trinidad and Tobago. Barbados is outside of the main Atlantic hurricane belt. The island's only airport is the Grantley Adams International Airport.",11,135,Barbados is an island country in the Caribbean Sea.
Belarus,Belarus,"Belarus (officially called Republic of Belarus) is a country in Eastern Europe. About nine million people live there. Its capital is Minsk. It was part of the Soviet Union until 1991. The president of Belarus has been Alexander Lukashenko since 1994. It is bordered by Russia, Ukraine, Poland, Lithuania and Latvia. Over forty percent of its 207,600 square kilometres (80,200 sq mi) is forested.
The State is a member of the UN, the CIS, Collective Security Treaty Organization, the Eurasian Economic Community, the Union State of Russia and Belarus (from 2 April 1997), as well as a member of other international organizations.
Until the 20th century, the lands of modern-day Belarus belonged to several countries. These included the Principality of Polotsk, the Grand Duchy of Lithuania, the Polish–Lithuanian Commonwealth, and the Russian Empire. After the Russian Revolution, Belarus became part of the Soviet Union. It was renamed the Byelorussian Soviet Socialist Republic (BSSR). The borders of Belarus took their modern shape in 1939. Some lands of the Second Polish Republic were added into it after the Soviet invasion of Poland. The nation and its territory were devastated in World War II. Belarus lost about a third of its population and more than half of its economic resources. In 1945 the Belorussian SSR became a founding member of the United Nations, along with the Soviet Union and the Ukrainian SSR.
The parliament of the republic declared the sovereignty of Belarus on 27 July 1990. During the dissolution of the Soviet Union, Belarus became independent on 25 August 1991.
Over 70% of Belarus's population of 9.49 million live in the urban areas. More than 80% of the population are ethnic Belarusians. Most of the rest are Russians, Poles and Ukrainians. The country has two official languages: Belarusian and Russian. The main religion in the country is Russian Orthodox Christianity. The second most popular, Roman Catholicism, has a much smaller following.","Belarus is a country in Eastern Europe. About nine million people live there. Its capital is Minsk. It was part of the Soviet Union until 1991. The president of Belarus has been Alexander Lukashenko since 1994. It is bordered by Russia, Ukraine, Poland, Lithuania and Latvia. Over forty percent of its 207,600 square kilometres is forested. The State is a member of the UN, the CIS, Collective Security Treaty Organization, the Eurasian Economic Community, the Union State of Russia and Belarus, as well as a member of other international organizations. Until the 20th century, the lands of modern-day Belarus belonged to several countries. These included the Principality of Polotsk, the Grand Duchy of Lithuania, the Polish–Lithuanian Commonwealth, and the Russian Empire. After the Russian Revolution, Belarus became part of the Soviet Union. It was renamed the Byelorussian Soviet Socialist Republic. The borders of Belarus took their modern shape in 1939. Some lands of the Second Polish Republic were added into it after the Soviet invasion of Poland. The nation and its territory were devastated in World War II. Belarus lost about a third of its population and more than half of its economic resources. In 1945 the Belorussian SSR became a founding member of the United Nations, along with the Soviet Union and the Ukrainian SSR. The parliament of the republic declared the sovereignty of Belarus on 27 July 1990. During the dissolution of the Soviet Union, Belarus became independent on 25 August 1991. Over 70% of Belarus's population of 9.49 million live in the urban areas. More than 80% of the population are ethnic Belarusians. Most of the rest are Russians, Poles and Ukrainians. The country has two official languages: Belarusian and Russian. The main religion in the country is Russian Orthodox Christianity. The second most popular, Roman Catholicism, has a much smaller following.",25,352,Belarus is a country in Eastern Europe.
Belgium,Belgium,"Belgium, officially the Kingdom of Belgium, is a federal state in Western Europe. It is a founding member of the European Union. It has the headquarters of the European Union, NATO and some other famous organisations. The capital city of Belgium is Brussels. Belgium has an area of 30,528 square kilometres (11,787 sq mi). Around 11 million people live in Belgium.
There are three regions in Belgium: Flanders (where the people speak Dutch) in the northern half of Belgium, Wallonia (where the people speak French) in the southern half, and the Brussels-Capital Region in the middle (where French is mostly spoken, with some Dutch).
The population is about 60% Dutch-speaking (Flemish people), 39% French-speaking (Walloons) and 1% German-speaking (so called Deutschbelgier) on the border with Germany. To look after these groups, Belgium has a complicated system of government.","Belgium, officially the Kingdom of Belgium, is a federal state in Western Europe. It is a founding member of the European Union. It has the headquarters of the European Union, NATO and some other famous organisations. The capital city of Belgium is Brussels. Belgium has an area of 30,528 square kilometres. Around 11 million people live in Belgium. There are three regions in Belgium: Flanders in the northern half of Belgium, Wallonia in the southern half, and the Brussels-Capital Region in the middle. The population is about 60% Dutch-speaking, 39% French-speaking and 1% German-speaking on the border with Germany. To look after these groups, Belgium has a complicated system of government.",9,131,"Belgium, officially the Kingdom of Belgium, is a federal state in Western Europe."
Belize,Belize,"Belize is a country in Central America. It used to be called British Honduras, but changed its name in 1973. Long before that it was part of the Mayan Empire.
Some people in Belize speak Spanish or Kriol, but English is the official language and the most commonly spoken. This is because Belize is a former colony of the United Kingdom, while its neighbors were once colonies of Spain. Many people speak two languages.

More than three hundred and thirty thousand people live in Belize. Kriols make up about 21% of the Belizean people. Three Maya groups now live in the country: the Yucatec, the Mopan, and Kekchi. The Garinagu are a mix of African, Arawak, and Carib ancestry. There are also Mestizos.
Belmopan, which is near the centre of the country, is its capital. Other towns and cities include Belize City, Corozal Town, Orange Walk Town and Punta Gorda.
Belize is on the coast of the Caribbean Sea. There are about 450 islands. The largest island, Ambergris Caye, is forty kilometres long. Many other islands are very small. In the water around the islands are coral reefs.
The temperature along the coast is warm all year round. It typically ranges from 20°C to 32°C. Sometimes hurricanes hit, causing great damage. In 1955 Hurricane Janet leveled the northern town of Corozal. The most recent hurricane to affect Belize directly was the Category 2 Hurricane Richard. It struck land about 20 miles south-southeast of Belize City at on 25 October 2010.
On the mainland bananas and sugar cane are grown. Many tourists come to Belize each year. They like to snorkel or dive, to visit pyramids built by the Mayans, or simply to relax on a beach.","Belize is a country in Central America. It used to be called British Honduras, but changed its name in 1973. Long before that it was part of the Mayan Empire. Some people in Belize speak Spanish or Kriol, but English is the official language and the most commonly spoken. This is because Belize is a former colony of the United Kingdom, while its neighbors were once colonies of Spain. Many people speak two languages. More than three hundred and thirty thousand people live in Belize. Kriols make up about 21% of the Belizean people. Three Maya groups now live in the country: the Yucatec, the Mopan, and Kekchi. The Garinagu are a mix of African, Arawak, and Carib ancestry. There are also Mestizos. Belmopan, which is near the centre of the country, is its capital. Other towns and cities include Belize City, Corozal Town, Orange Walk Town and Punta Gorda. Belize is on the coast of the Caribbean Sea. There are about 450 islands. The largest island, Ambergris Caye, is forty kilometres long. Many other islands are very small. In the water around the islands are coral reefs. The temperature along the coast is warm all year round. It typically ranges from 20°C to 32°C. Sometimes hurricanes hit, causing great damage. In 1955 Hurricane Janet leveled the northern town of Corozal. The most recent hurricane to affect Belize directly was the Category 2 Hurricane Richard. It struck land about 20 miles south-southeast of Belize City at on 25 October 2010. On the mainland bananas and sugar cane are grown. Many tourists come to Belize each year. They like to snorkel or dive, to visit pyramids built by the Mayans, or simply to relax on a beach.",27,331,Belize is a country in Central America.
